name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
NVIDIA A100-SXM4-40GB, 6 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 100 %, 0 %, 40960 MiB, 449 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, 0 %, 0 %, 4096 MiB, 1 MiB
