,#Thread Blocks,#Threads,GPU Utilization,GPU Memory Utilization,GPU Memory usage (MB),GRACT,SMACT,SMOCC
0,1,1,91,0,419,0.911,0.002,0
1,1,8,92,0,419,0.92,0.002,0
2,1,32,93,0,419,0.93,0.002,0
3,1,128,90,0,419,0.901,0.002,0
4,1,256,93,0,419,0.927,0.002,0
5,1,512,91,0,419,0.906,0.002,0.001
6,1,1024,92,0,419,0.916,0.002,0.001
7,128,1,99,0,419,0.985,0.226,0.004
8,128,8,100,0,419,0.997,0.23,0.004
9,128,32,96,0,419,0.96,0.222,0.004
10,128,128,96,0,419,0.963,0.256,0.018
11,128,256,100,0,419,1,0.232,0.032
12,128,512,97,0,419,0.965,0.236,0.065
13,128,1024,100,0,419,0.998,0.255,0.137
14,256,1,100,0,419,1,0.23,0.007
15,256,8,98,0,419,0.983,0.227,0.007
16,256,32,100,0,419,1,0.238,0.008
17,256,128,100,0,419,0.999,0.229,0.03
18,256,256,99,0,419,0.985,0.169,0.043
19,256,512,99,0,419,0.989,0.18,0.09
20,256,1024,100,0,419,1,0.182,0.154
21,512,1,95,0,419,0.952,0.214,0.012
22,512,8,98,0,419,0.985,0.227,0.013
23,512,32,98,0,419,0.976,0.222,0.013
24,512,128,98,0,419,0.976,0.198,0.047
25,512,256,100,0,419,0.996,0.142,0.067
26,512,512,99,0,419,0.994,0.127,0.104
27,512,1024,100,0,421,0.998,0.358,0.26
28,1024,1,98,0,419,0.984,0.228,0.018
29,1024,8,99,0,419,0.987,0.223,0.018
30,1024,32,97,0,419,0.974,0.225,0.018
31,1024,128,99,0,419,0.992,0.166,0.055
32,1024,256,99,0,419,0.993,0.099,0.066
33,1024,512,99,0,421,0.995,0.142,0.103
34,1024,1024,99,0,425,0.995,0.555,0.388
35,2048,1,98,0,419,0.978,0.233,0.018
36,2048,8,98,0,419,0.979,0.233,0.018
37,2048,32,98,0,419,0.983,0.236,0.019
38,2048,128,100,0,419,0.997,0.107,0.03
39,2048,256,100,0,421,0.996,0.108,0.058
40,2048,512,99,0,425,0.993,0.185,0.121
41,2048,1024,100,0,433,0.997,0.737,0.519
42,4096,1,99,0,419,0.986,0.246,0.018
43,4096,8,100,0,419,0.999,0.251,0.019
44,4096,32,99,0,419,0.99,0.192,0.015
45,4096,128,100,0,421,0.999,0.152,0.032
46,4096,256,100,0,425,0.997,0.161,0.069
47,4096,512,100,0,433,0.998,0.265,0.156
48,4096,1024,100,0,449,0.999,0.856,0.624
49,8192,1,99,0,419,0.994,0.199,0.013
50,8192,8,100,0,419,0.997,0.224,0.015
51,8192,32,100,0,419,0.996,0.131,0.009
52,8192,128,100,0,425,0.996,0.263,0.039
53,8192,256,100,0,433,0.998,0.246,0.08
54,8192,512,100,0,449,0.998,0.339,0.181
55,8192,1024,100,0,481,0.999,0.934,0.691
56,16384,1,100,0,419,0.998,0.162,0.009
57,16384,8,100,0,419,0.999,0.186,0.01
58,16384,32,100,0,421,0.999,0.15,0.009
59,16384,128,100,0,433,0.997,0.429,0.046
60,16384,256,100,0,449,0.999,0.397,0.091
61,16384,512,100,0,481,0.999,0.579,0.346
62,16384,1024,100,0,545,1,0.963,0.745
63,32768,1,100,0,419,0.999,0.163,0.008
64,32768,8,100,0,419,0.999,0.145,0.008
65,32768,32,100,0,425,1,0.311,0.027
66,32768,128,100,0,449,0.999,0.661,0.227
67,32768,256,100,0,481,0.999,0.716,0.387
68,32768,512,100,0,545,0.999,0.728,0.442
69,32768,1024,100,0,673,1,0.983,0.739
70,65536,1,100,0,419,1,0.242,0.012
71,65536,8,100,0,421,0.999,0.226,0.011
72,65536,32,100,0,433,1,0.426,0.124
73,65536,128,100,0,481,0.999,0.793,0.453
74,65536,256,100,0,545,0.999,0.778,0.405
75,65536,512,100,0,673,0.999,0.883,0.593
76,65536,1024,100,0,929,1,0.991,0.77
77,131072,1,100,0,419,0.999,0.292,0.014
78,131072,8,100,0,425,1,0.28,0.014
79,131072,32,100,0,449,1,0.494,0.17
80,131072,128,100,0,545,1,0.79,0.392
81,131072,256,100,0,673,1,0.882,0.565
82,131072,512,100,0,929,1,0.906,0.585
83,131072,1024,100,0,1441,1,0.995,0.782
