,#Thread Blocks,#Threads,GPU Utilization,GPU Memory Utilization,GPU Memory usage (MB),GRACT,SMACT,SMOCC
0,1,1,91.0,0.0,419.0,0.908,0.002,0.0
1,1,8,92.0,0.0,419.0,0.916,0.002,0.0
2,1,32,93.0,0.0,419.0,0.928,0.002,0.0
3,1,128,90.0,0.0,419.0,0.9,0.002,0.0
4,1,256,92.0,0.0,419.0,0.92,0.002,0.0
5,1,512,90.0,0.0,419.0,0.903,0.002,0.001
6,1,1024,91.0,0.0,419.0,0.914,0.002,0.001
7,128,1,98.0,0.0,419.0,0.985,0.226,0.004
8,128,8,100.0,0.0,419.0,0.997,0.23,0.004
9,128,32,96.0,0.0,419.0,0.96,0.222,0.004
10,128,128,96.0,0.0,419.0,0.963,0.255,0.018
11,128,256,100.0,0.0,419.0,1.0,0.232,0.032
12,128,512,97.0,0.0,419.0,0.965,0.236,0.065
13,128,1024,100.0,0.0,419.0,0.998,0.255,0.137
14,256,1,100.0,0.0,419.0,1.0,0.23,0.007
15,256,8,98.0,0.0,419.0,0.983,0.227,0.007
16,256,32,100.0,0.0,419.0,1.0,0.238,0.008
17,256,128,100.0,0.0,419.0,0.998,0.229,0.03
18,256,256,98.0,0.0,419.0,0.985,0.169,0.043
19,256,512,99.0,0.0,419.0,0.989,0.179,0.09
20,256,1024,100.0,0.0,419.0,1.0,0.182,0.154
21,512,1,95.0,0.0,419.0,0.952,0.214,0.012
22,512,8,98.0,0.0,419.0,0.984,0.227,0.013
23,512,32,98.0,0.0,419.0,0.9724999999999999,0.221,0.013
24,512,128,97.5,0.0,419.0,0.975,0.198,0.047
25,512,256,100.0,0.0,419.0,0.996,0.141,0.067
26,512,512,99.0,0.0,419.0,0.994,0.127,0.104
27,512,1024,100.0,0.0,421.0,0.998,0.358,0.259
28,1024,1,98.0,0.0,419.0,0.984,0.227,0.018
29,1024,8,99.0,0.0,419.0,0.987,0.223,0.018
30,1024,32,97.0,0.0,419.0,0.974,0.225,0.018
31,1024,128,99.0,0.0,419.0,0.992,0.166,0.054
32,1024,256,99.0,0.0,419.0,0.993,0.099,0.066
33,1024,512,99.0,0.0,421.0,0.995,0.142,0.103
34,1024,1024,99.0,0.0,425.0,0.995,0.555,0.387
35,2048,1,98.0,0.0,419.0,0.977,0.232,0.018
36,2048,8,98.0,0.0,419.0,0.979,0.233,0.018
37,2048,32,98.0,0.0,419.0,0.983,0.236,0.019
38,2048,128,100.0,0.0,419.0,0.997,0.107,0.03
39,2048,256,100.0,0.0,421.0,0.996,0.108,0.058
40,2048,512,99.0,0.0,425.0,0.993,0.185,0.121
41,2048,1024,100.0,0.0,433.0,0.997,0.737,0.518
42,4096,1,99.0,0.0,419.0,0.986,0.246,0.018
43,4096,8,100.0,0.0,419.0,0.999,0.251,0.019
44,4096,32,99.0,0.0,419.0,0.989,0.192,0.015
45,4096,128,100.0,0.0,421.0,0.999,0.152,0.032
46,4096,256,100.0,0.0,425.0,0.997,0.161,0.069
47,4096,512,100.0,0.0,433.0,0.998,0.265,0.156
48,4096,1024,100.0,0.0,449.0,0.999,0.856,0.624
49,8192,1,99.0,0.0,419.0,0.994,0.199,0.013
50,8192,8,100.0,0.0,419.0,0.997,0.223,0.015
51,8192,32,100.0,0.0,419.0,0.996,0.131,0.009
52,8192,128,100.0,0.0,425.0,0.996,0.262,0.039
53,8192,256,100.0,0.0,433.0,0.998,0.246,0.08
54,8192,512,100.0,0.0,449.0,0.998,0.339,0.181
55,8192,1024,100.0,0.0,481.0,0.999,0.934,0.691
56,16384,1,100.0,0.0,419.0,0.998,0.162,0.009
57,16384,8,100.0,0.0,419.0,0.999,0.186,0.01
58,16384,32,100.0,0.0,421.0,0.999,0.15,0.009
59,16384,128,100.0,0.0,433.0,0.997,0.429,0.046
60,16384,256,100.0,0.0,449.0,0.999,0.396,0.09
61,16384,512,100.0,0.0,481.0,0.999,0.578,0.345
62,16384,1024,100.0,0.0,545.0,1.0,0.962,0.745
63,32768,1,100.0,0.0,419.0,0.999,0.162,0.008
64,32768,8,100.0,0.0,419.0,0.999,0.144,0.008
65,32768,32,100.0,0.0,425.0,1.0,0.311,0.027
66,32768,128,100.0,0.0,449.0,0.999,0.661,0.226
67,32768,256,100.0,0.0,481.0,0.999,0.716,0.387
68,32768,512,100.0,0.0,545.0,0.999,0.728,0.441
69,32768,1024,100.0,0.0,673.0,1.0,0.983,0.738
70,65536,1,100.0,0.0,419.0,1.0,0.242,0.012
71,65536,8,100.0,0.0,421.0,0.999,0.226,0.011
72,65536,32,100.0,0.0,433.0,1.0,0.426,0.124
73,65536,128,100.0,0.0,481.0,0.999,0.792,0.453
74,65536,256,100.0,0.0,545.0,0.999,0.778,0.405
75,65536,512,100.0,0.0,673.0,0.999,0.883,0.593
76,65536,1024,100.0,0.0,929.0,1.0,0.991,0.77
77,131072,1,100.0,0.0,419.0,0.999,0.292,0.014
78,131072,8,100.0,0.0,425.0,0.999,0.28,0.014
79,131072,32,100.0,0.0,449.0,1.0,0.494,0.169
80,131072,128,100.0,0.0,545.0,1.0,0.79,0.392
81,131072,256,100.0,0.0,673.0,1.0,0.882,0.565
82,131072,512,100.0,0.0,929.0,1.0,0.906,0.585
83,131072,1024,100.0,0.0,1441.0,1.0,0.995,0.782
