name, pstate, timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:55.262, 33 %, 1 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:55.265, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:55.267, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:16:55.269, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:55.270, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:56.272, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:56.275, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:56.277, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:16:56.282, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:56.284, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:57.286, 8 %, 0 %, 40960 MiB, 803 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:57.287, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:57.289, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:16:57.290, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:57.291, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:58.292, 5 %, 0 %, 40960 MiB, 1343 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:58.294, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:58.295, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:16:58.296, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:58.297, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:59.298, 20 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:59.300, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:59.301, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:16:59.302, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:16:59.303, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:00.304, 23 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:00.306, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:00.307, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:00.308, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:00.309, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:01.311, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:01.312, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:01.313, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:01.314, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:01.315, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:02.316, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:02.318, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:02.319, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:02.320, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:02.321, 0 %, 0 %, 40960 MiB, 0 MiB
