#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     57.976            1268376700              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        55077                       437283                      0                           0                           
GPU 1     50.646            920118154               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        68703                       458023                      0                           0                           
GPU 2     54.795            998358229               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        112289                      527418                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        121236                      740181                      0                           0                           
GPU 4     56.521            1029160076              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        238489                      761627                      0                           0                           
GPU 0     60.527            1268437741              N/A            N/A            11                0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        55077                       437283                      0                           0                           
GPU 1     50.406            920168930               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        68703                       458023                      0                           0                           
GPU 2     54.795            998413183               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        112289                      527418                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        121236                      740181                      0                           0                           
GPU 4     56.521            1029160076              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        238489                      761627                      0                           0                           
GPU 0     60.821            1268498916              N/A            N/A            3                 0                 0.007        0.000        0.000        0.000        0.000        0.000        0.000        0.000        21975188                    77287225                    0                           0                           
GPU 1     50.646            920219725               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        879332                      983193                      0                           0                           
GPU 2     54.795            998468142               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        870694                      975710                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        144778                      679218                      0                           0                           
GPU 4     56.587            1029217014              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1023989                     1040723                     0                           0                           
GPU 0     60.821            1268559426              N/A            N/A            6                 0                 0.029        0.000        0.000        0.000        0.000        0.000        0.000        0.000        60059885                    527980137                   0                           0                           
GPU 1     50.646            920270492               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        166141                      326022                      0                           0                           
GPU 2     54.795            998468142               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        158101                      317917                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        124546                      417125                      0                           0                           
GPU 4     56.521            1029273905              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        165069                      334053                      0                           0                           
GPU 0     57.976            1268620310              N/A            N/A            22                2                 0.013        0.000        0.000        0.000        0.000        0.000        0.000        0.000        64311317                    571094421                   0                           0                           
GPU 1     50.646            920270492               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        307459                      449683                      0                           0                           
GPU 2     54.795            998523085               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        328866                      460583                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        111069                      476145                      0                           0                           
GPU 4     56.587            1029330872              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        392670                      493588                      0                           0                           
GPU 0     63.660            1268620310              N/A            N/A            22                2                 0.129        0.000        0.000        0.000        0.011        0.000        0.010        0.000        35203162                    297117946                   0                           0                           
GPU 1     50.646            920321243               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        362442                      400337                      0                           0                           
GPU 2     54.795            998578068               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        346917                      391281                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        107508                      367085                      0                           0                           
GPU 4     56.521            1029387829              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        632157                      540840                      0                           0                           
GPU 0     62.360            1268684227              N/A            N/A            23                2                 0.221        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8682599                     51624923                    0                           0                           
GPU 1     50.646            920372065               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        391667                      369473                      0                           0                           
GPU 2     54.731            998633044               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        334554                      336855                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        62574                       278359                      0                           0                           
GPU 4     56.521            1029444626              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        421214                      382287                      0                           0                           
GPU 0     64.672            1268748168              N/A            N/A            22                2                 0.222        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8665414                     51409537                    0                           0                           
GPU 1     50.646            920422835               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        322552                      320713                      0                           0                           
GPU 2     54.795            998688022               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        316173                      317807                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        63832                       277856                      0                           0                           
GPU 4     56.521            1029501496              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        418044                      371398                      0                           0                           
GPU 0     62.360            1268811971              N/A            N/A            22                2                 0.220        0.097        0.040        0.011        0.019        0.000        0.000        0.000        8433833                     50977908                    0                           0                           
GPU 1     50.646            920473653               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        292997                      297522                      0                           0                           
GPU 2     54.795            998742985               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        318374                      310508                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        70496                       250123                      0                           0                           
GPU 4     56.521            1029558338              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        405634                      363524                      0                           0                           
GPU 0     61.827            1268876175              N/A            N/A            23                2                 0.221        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8560599                     51084094                    0                           0                           
GPU 1     50.646            920524438               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        368043                      346696                      0                           0                           
GPU 2     54.795            998797942               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        307284                      311000                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        77000                       276579                      0                           0                           
GPU 4     56.521            1029615168              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        377260                      348307                      0                           0                           
GPU 0     63.126            1268940080              N/A            N/A            22                2                 0.223        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8653593                     51422956                    0                           0                           
GPU 1     50.646            920575232               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        343267                      332946                      0                           0                           
GPU 2     54.731            998852908               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        358035                      340929                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        81721                       273152                      0                           0                           
GPU 4     56.521            1029671979              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        396213                      361373                      0                           0                           
GPU 0     63.126            1269004014              N/A            N/A            23                2                 0.222        0.098        0.041        0.011        0.019        0.000        0.010        0.000        8621530                     51396092                    0                           0                           
GPU 1     50.646            920626037               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        263672                      285897                      0                           0                           
GPU 2     54.795            998907895               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        193968                      243912                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        76006                       265733                      0                           0                           
GPU 4     56.521            1029728727              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        201018                      250085                      0                           0                           
GPU 0     63.373            1269067936              N/A            N/A            3                 2                 0.223        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8574877                     51109927                    0                           0                           
GPU 1     50.646            920676873               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        375660                      349306                      0                           0                           
GPU 2     54.795            998962872               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        390051                      357770                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        81955                       256392                      0                           0                           
GPU 4     56.521            1029785423              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        404478                      368499                      0                           0                           
GPU 0     58.215            1269122696              N/A            N/A            22                2                 0.032        0.023        0.013        0.003        0.010        0.000        0.005        0.000        4115939                     32263668                    0                           0                           
GPU 1     50.646            920727654               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        295776                      306202                      0                           0                           
GPU 2     54.795            999017856               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        333243                      325044                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        75381                       277883                      0                           0                           
GPU 4     56.521            1029842152              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        329008                      325729                      0                           0                           
GPU 0     62.887            1269184294              N/A            N/A            23                2                 0.170        0.097        0.040        0.011        0.016        0.000        0.010        0.000        7207427                     44491658                    0                           0                           
GPU 1     50.646            920778443               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        258504                      276907                      0                           0                           
GPU 2     54.795            999072826               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        279923                      283383                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        58387                       244796                      0                           0                           
GPU 4     56.521            1029898878              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        339591                      328396                      0                           0                           
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     62.600            1269248439              N/A            N/A            22                2                 0.221        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8375269                     51123093                    0                           0                           
GPU 1     50.646            920829221               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        187117                      237245                      0                           0                           
GPU 2     54.795            999127812               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        200884                      243280                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        48870                       261286                      0                           0                           
GPU 4     56.521            1029955596              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        211556                      251344                      0                           0                           
GPU 0     64.187            1269312519              N/A            N/A            22                2                 0.220        0.000        0.000        0.000        0.019        0.000        0.010        0.000        8570257                     50949196                    0                           0                           
GPU 1     50.646            920880014               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        369684                      345267                      0                           0                           
GPU 2     54.795            999182797               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        403610                      362573                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        58428                       256617                      0                           0                           
GPU 4     56.521            1030012330              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        354565                      334756                      0                           0                           
