#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     60.048            1271512568              N/A            N/A            54                0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        9641909                     4285637                     0                           0                           
GPU 1     49.634            922647992               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        10570454                    3862732                     0                           0                           
GPU 2     53.738            1001095600              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        272405                      595534                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        103097                      610531                      0                           0                           
GPU 4     55.506            1031985995              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        471858                      725204                      0                           0                           
GPU 0     60.288            1271572884              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2765181                     2624458                     0                           0                           
GPU 1     50.646            922698667               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3806408                     3312991                     0                           0                           
GPU 2     54.795            1001150312              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7519454                     6054086                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        217240                      1535039                     0                           0                           
GPU 4     59.126            1032042295              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        471858                      725204                      0                           0                           
GPU 0     55.616            1271632868              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2951057                     3332588                     0                           0                           
GPU 1     50.646            922749532               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3709643                     3879427                     0                           0                           
GPU 2     54.795            1001205315              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4359782                     4346979                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        311420                      1932255                     0                           0                           
GPU 4     59.126            1032101319              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        8219773                     5478597                     0                           0                           
GPU 0     55.616            1271688970              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2951057                     3332588                     0                           0                           
GPU 1     50.646            922800386               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3709643                     3879427                     0                           0                           
GPU 2     54.795            1001260323              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4359782                     4346979                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        311420                      1932255                     0                           0                           
GPU 4     56.521            1032160620              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4949404                     4784270                     0                           0                           
GPU 0     57.976            1271744998              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        346362                      412929                      0                           0                           
GPU 1     50.646            922851201               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        379611                      431715                      0                           0                           
GPU 2     54.795            1001315303              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        370540                      435124                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        84788                       348158                      0                           0                           
GPU 4     56.521            1032217343              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        412836                      464835                      0                           0                           
GPU 0     60.821            1271804779              N/A            N/A            6                 0                 0.006        0.000        0.000        0.000        0.000        0.000        0.000        0.000        14861580                    35455357                    0                           0                           
GPU 1     50.646            922902038               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1983423                     1930119                     0                           0                           
GPU 2     54.795            1001370297              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1914428                     1917641                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        180954                      824114                      0                           0                           
GPU 4     56.521            1032274084              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1303516                     1408618                     0                           0                           
GPU 0     60.821            1271866074              N/A            N/A            3                 0                 0.019        0.000        0.000        0.000        0.000        0.000        0.000        0.000        49566664                    435231872                   0                           0                           
GPU 1     50.646            922952861               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        648678                      755788                      0                           0                           
GPU 2     54.795            1001425290              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        679841                      779846                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        133298                      532998                      0                           0                           
GPU 4     56.587            1032330820              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        305989                      408812                      0                           0                           
GPU 0     57.976            1271925263              N/A            N/A            4                 0                 0.012        0.000        0.000        0.000        0.000        0.000        0.000        0.000        53528364                    474102464                   0                           0                           
GPU 1     50.646            923003696               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        641604                      786025                      0                           0                           
GPU 2     54.795            1001480281              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        704238                      836819                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        109858                      582418                      0                           0                           
GPU 4     56.521            1032387571              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        676452                      793857                      0                           0                           
GPU 0     62.887            1271985977              N/A            N/A            29                2                 0.133        0.001        0.001        0.000        0.008        0.000        0.000        0.000        36250821                    302212935                   0                           0                           
GPU 1     50.646            923054553               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        301840                      409500                      0                           0                           
GPU 2     54.795            1001535239              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        348848                      436415                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        80950                       392335                      0                           0                           
GPU 4     56.587            1032444281              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        277654                      378442                      0                           0                           
GPU 0     64.187            1272050151              N/A            N/A            29                2                 0.289        0.102        0.044        0.011        0.019        0.000        0.010        0.000        10903322                    52477962                    0                           0                           
GPU 1     50.646            923105392               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        389895                      355163                      0                           0                           
GPU 2     54.795            1001590226              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        394636                      354591                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        69518                       259445                      0                           0                           
GPU 4     56.521            1032500945              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        354572                      349825                      0                           0                           
