name, pstate, timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:16.610, 54 %, 1 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:16.616, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:16.622, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:16.625, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:16.631, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:17.640, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:17.642, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:17.645, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:17.647, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:17.649, 0 %, 0 %, 40960 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:18.651, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:18.656, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:18.658, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:18.659, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:18.660, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:19.661, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:19.663, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:19.664, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:19.665, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:19.666, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:20.667, 0 %, 0 %, 40960 MiB, 15 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:20.677, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:20.678, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:20.681, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:20.682, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:21.685, 5 %, 0 %, 40960 MiB, 771 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:21.686, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:21.688, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:21.689, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:21.689, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:22.691, 4 %, 0 %, 40960 MiB, 1183 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:22.692, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:22.693, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:22.694, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:22.695, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:23.696, 4 %, 0 %, 40960 MiB, 1611 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:23.704, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:23.707, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:23.710, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:23.712, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:24.715, 29 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:24.716, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:24.718, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:24.719, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:24.719, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:25.721, 29 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:25.722, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:25.723, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:25.724, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:25.725, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:26.726, 29 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:26.728, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:26.731, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:26.734, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:26.735, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:27.738, 30 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:27.740, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:27.741, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:27.742, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:27.743, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:28.745, 30 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:28.753, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:28.756, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:20:28.762, 0 %, 0 %, 4096 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:28.763, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:29.766, 30 %, 2 %, 40960 MiB, 1879 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:29.767, 0 %, 0 %, 40960 MiB, 3 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:20:29.769, 0 %, 0 %, 40960 MiB, 3 MiB
