#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     57.689            27310437                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        45434                       633485                      0                           0                           
GPU 1     50.646            24450350                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        58393                       651172                      0                           0                           
GPU 2     54.795            26550675                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        88422                       702023                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        146501                      873779                      0                           0                           
GPU 4     56.521            25778461                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        219621                      694286                      0                           0                           
GPU 0     57.689            27310437                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        45434                       633485                      0                           0                           
GPU 1     50.646            24450350                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        58393                       651172                      0                           0                           
GPU 2     54.795            26550675                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        88422                       702023                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        146501                      873779                      0                           0                           
GPU 4     56.521            25778461                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        219621                      694286                      0                           0                           
GPU 0     57.689            27368369                N/A            N/A            15                0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        7407055                     3166723                     0                           0                           
GPU 1     50.646            24506264                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1310474                     1156167                     0                           0                           
GPU 2     54.795            26605669                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1276724                     1139838                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        123239                      487502                      0                           0                           
GPU 4     56.521            25841030                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1285149                     1150731                     0                           0                           
GPU 0     57.689            27426474                N/A            N/A            2                 0                 0.006        0.000        0.000        0.000        0.000        0.000        0.000        0.000        14523512                    40534399                    0                           0                           
GPU 1     50.646            24552040                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2103060                     2354749                     0                           0                           
GPU 2     54.795            26660639                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2346629                     2479545                     0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        173776                      1328326                     0                           0                           
GPU 4     56.587            25897952                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2576686                     2614780                     0                           0                           
GPU 0     57.689            27484402                N/A            N/A            1                 0                 0.021        0.000        0.000        0.000        0.000        0.000        0.000        0.000        31668400                    278602387                   0                           0                           
GPU 1     50.646            24602887                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        189227                      314349                      0                           0                           
GPU 2     54.795            26715611                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        382749                      434793                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        98680                       396632                      0                           0                           
GPU 4     56.521            25949186                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        384981                      439395                      0                           0                           
GPU 0     57.689            27542303                N/A            N/A            3                 0                 0.009        0.000        0.000        0.000        0.000        0.000        0.000        0.000        25828884                    223958269                   0                           0                           
GPU 1     50.646            24653713                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        264369                      340771                      0                           0                           
GPU 2     54.795            26770604                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        320017                      371609                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        90010                       363731                      0                           0                           
GPU 4     56.521            26006142                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        297323                      362322                      0                           0                           
GPU 0     57.689            27600216                N/A            N/A            3                 0                 0.010        0.000        0.000        0.000        0.000        0.000        0.000        0.000        37244426                    327750286                   0                           0                           
GPU 1     50.646            24704551                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        380750                      433679                      0                           0                           
GPU 2     54.795            26825607                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        418181                      454511                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        92863                       393691                      0                           0                           
GPU 4     56.521            26062863                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        376444                      435519                      0                           0                           
GPU 0     57.689            27658127                N/A            N/A            1                 0                 0.008        0.000        0.000        0.000        0.000        0.000        0.000        0.000        34064276                    302816589                   0                           0                           
GPU 1     50.646            24755380                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        214997                      303937                      0                           0                           
GPU 2     54.795            26880579                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        287660                      347178                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        76869                       343843                      0                           0                           
GPU 4     56.521            26119698                N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        305909                      357041                      0                           0                           
